review,sentiment
Excellent service,positive
Excellent service,positive
Very satisfied,positive
Very disappointed,negative
Fantastic product,positive
Excellent service,positive
Won't buy again,negative
Excellent service,positive
Fantastic product,positive
Terrible experience,negative
Terrible experience,negative
Fantastic product,positive
Fantastic product,positive
Highly recommend,positive
Decent but not great,neutral
Poor quality,negative
Highly recommend,positive
Decent but not great,neutral
Average experience,neutral
Excellent service,positive
Poor quality,negative
Poor quality,negative
Terrible experience,negative
Poor quality,negative
Absolutely loved it!,positive
Poor quality,negative
Average experience,neutral
Very disappointed,negative
It was okay,neutral
Highly recommend,positive
Excellent service,positive
Very disappointed,negative
Fantastic product,positive
It was okay,neutral
Very satisfied,positive
Decent but not great,neutral
Decent but not great,neutral
Not worth the money,negative
Terrible experience,negative
It was okay,neutral
Won't buy again,negative
Very disappointed,negative
Highly recommend,positive
Not worth the money,negative
Won't buy again,negative
Very satisfied,positive
Very disappointed,negative
Poor quality,negative
Very satisfied,positive
Very disappointed,negative
Not worth the money,negative
It was okay,neutral
It was okay,neutral
Poor quality,negative
Neutral opinion,neutral
Neutral opinion,neutral
Excellent service,positive
Average experience,neutral
Very disappointed,negative
Poor quality,negative
Fantastic product,positive
Very satisfied,positive
Neutral opinion,neutral
It was okay,neutral
Absolutely loved it!,positive
Poor quality,negative
Terrible experience,negative
Not worth the money,negative
Not worth the money,negative
Fantastic product,positive
Poor quality,negative
Not worth the money,negative
Not worth the money,negative
Absolutely loved it!,positive
Average experience,neutral
Nothing special,neutral
Absolutely loved it!,positive
Won't buy again,negative
Absolutely loved it!,positive
It was okay,neutral
Not worth the money,negative
Highly recommend,positive
Absolutely loved it!,positive
Very satisfied,positive
Absolutely loved it!,positive
Very disappointed,negative
Absolutely loved it!,positive
Won't buy again,negative
Fantastic product,positive
Terrible experience,negative
It was okay,neutral
Average experience,neutral
Very satisfied,positive
It was okay,neutral
Not worth the money,negative
Terrible experience,negative
Terrible experience,negative
Terrible experience,negative
Highly recommend,positive
Absolutely loved it!,positive
Neutral opinion,neutral
Very disappointed,negative
Excellent service,positive
Fantastic product,positive
Not worth the money,negative
Highly recommend,positive
Nothing special,neutral
Poor quality,negative
Highly recommend,positive
Absolutely loved it!,positive
Nothing special,neutral
Poor quality,negative
Decent but not great,neutral
Not worth the money,negative
Won't buy again,negative
Nothing special,neutral
Neutral opinion,neutral
Absolutely loved it!,positive
Decent but not great,neutral
Nothing special,neutral
Terrible experience,negative
Poor quality,negative
Nothing special,neutral
